condition_name,n_people,prevalence_pct,mean_codes_per_affected
Acute exacerbation of chronic obstructive pulmonary disease,128,1.7,7.7
"Gestation period, 20 weeks",128,1.7,2.0
Spinal stenosis,128,1.7,4.9
Neurogenic claudication,128,1.7,10.8
Postoperative hypothyroidism,128,1.7,20.5
Open wound of finger,127,1.6,2.1
Cerebrovascular disease,127,1.6,6.1
Hernia of anterior abdominal wall,127,1.6,4.9
Chronic congestive heart failure,127,1.6,16.4
Testicular hypofunction,126,1.6,18.0
Viral hepatitis C,126,1.6,10.7
Cortical senile cataract,126,1.6,4.4
Chronic gingivitis,126,1.6,4.7
Impaired glucose tolerance,126,1.6,6.3
Otitis externa,126,1.6,2.9
Recurrent major depression in partial remission,126,1.6,20.7
"Gestation period, 18 weeks",126,1.6,1.6
Disorder of artery,125,1.6,7.1
Cocaine abuse,125,1.6,6.2
Nerve root disorder,125,1.6,4.1
Early stage of pregnancy,125,1.6,2.3
Thigh pain,125,1.6,4.6
Lesion of oral mucosa,125,1.6,2.9
Digestive symptom,125,1.6,3.0
Neoplasm of uncertain behavior of soft tissues,124,1.6,2.9
Disorder of pancreas,124,1.6,8.5
Thyrotoxicosis,124,1.6,8.0
