gene	series	occurrence_bin	n_alleles	alleles_per_k
HLA-DPB1	cds_changing	513-1024	0	0.0
HLA-DPB1	cds_changing	>1024	0	0.0
HLA-DPB1	noncoding_only	1	47	47.0
HLA-DPB1	noncoding_only	2	9	9.0
HLA-DPB1	noncoding_only	3-4	11	5.5
HLA-DPB1	noncoding_only	5-8	7	1.75
HLA-DPB1	noncoding_only	9-16	5	0.625
HLA-DPB1	noncoding_only	17-32	8	0.5
HLA-DPB1	noncoding_only	33-64	8	0.25
HLA-DPB1	noncoding_only	65-128	3	0.046875
HLA-DPB1	noncoding_only	129-256	4	0.03125
HLA-DPB1	noncoding_only	257-512	3	0.01171875
HLA-DPB1	noncoding_only	513-1024	2	0.00390625
HLA-DPB1	noncoding_only	>1024	0	0.0
HLA-DPB1	flagged_artifact	1	436	436.0
HLA-DPB1	flagged_artifact	2	31	31.0
HLA-DPB1	flagged_artifact	3-4	16	8.0
HLA-DPB1	flagged_artifact	5-8	7	1.75
HLA-DPB1	flagged_artifact	9-16	3	0.375
HLA-DPB1	flagged_artifact	17-32	0	0.0
HLA-DPB1	flagged_artifact	33-64	0	0.0
HLA-DPB1	flagged_artifact	65-128	0	0.0
HLA-DPB1	flagged_artifact	129-256	0	0.0
HLA-DPB1	flagged_artifact	257-512	0	0.0
HLA-DPB1	flagged_artifact	513-1024	0	0.0
HLA-DPB1	flagged_artifact	>1024	0	0.0
HLA-DQA1	known	1	16	16.0
HLA-DQA1	known	2	12	12.0
HLA-DQA1	known	3-4	13	6.5
HLA-DQA1	known	5-8	11	2.75
HLA-DQA1	known	9-16	12	1.5
HLA-DQA1	known	17-32	14	0.875
HLA-DQA1	known	33-64	14	0.4375
HLA-DQA1	known	65-128	11	0.171875
HLA-DQA1	known	129-256	12	0.09375
HLA-DQA1	known	257-512	16	0.0625
HLA-DQA1	known	513-1024	6	0.01171875
HLA-DQA1	known	>1024	3	0.0029296875
HLA-DQA1	cds_changing	1	53	53.0
HLA-DQA1	cds_changing	2	1	1.0
HLA-DQA1	cds_changing	3-4	0	0.0
HLA-DQA1	cds_changing	5-8	0	0.0
HLA-DQA1	cds_changing	9-16	0	0.0
HLA-DQA1	cds_changing	17-32	0	0.0
HLA-DQA1	cds_changing	33-64	0	0.0
HLA-DQA1	cds_changing	65-128	0	0.0
HLA-DQA1	cds_changing	129-256	0	0.0
HLA-DQA1	cds_changing	257-512	0	0.0
HLA-DQA1	cds_changing	513-1024	0	0.0
HLA-DQA1	cds_changing	>1024	0	0.0
HLA-DQA1	noncoding_only	1	16	16.0
HLA-DQA1	noncoding_only	2	4	4.0
HLA-DQA1	noncoding_only	3-4	4	2.0
HLA-DQA1	noncoding_only	5-8	1	0.25
HLA-DQA1	noncoding_only	9-16	3	0.375
HLA-DQA1	noncoding_only	17-32	4	0.25
HLA-DQA1	noncoding_only	33-64	1	0.03125
HLA-DQA1	noncoding_only	65-128	5	0.078125
HLA-DQA1	noncoding_only	129-256	6	0.046875
HLA-DQA1	noncoding_only	257-512	1	0.00390625
HLA-DQA1	noncoding_only	513-1024	2	0.00390625
HLA-DQA1	noncoding_only	>1024	0	0.0
HLA-DQA1	flagged_artifact	1	349	349.0
HLA-DQA1	flagged_artifact	2	16	16.0
HLA-DQA1	flagged_artifact	3-4	3	1.5
HLA-DQA1	flagged_artifact	5-8	1	0.25
HLA-DQA1	flagged_artifact	9-16	0	0.0
HLA-DQA1	flagged_artifact	17-32	0	0.0
HLA-DQA1	flagged_artifact	33-64	0	0.0
HLA-DQA1	flagged_artifact	65-128	0	0.0
HLA-DQA1	flagged_artifact	129-256	0	0.0
HLA-DQA1	flagged_artifact	257-512	0	0.0
HLA-DQA1	flagged_artifact	513-1024	0	0.0
HLA-DQA1	flagged_artifact	>1024	0	0.0
HLA-DQB1	known	1	46	46.0
HLA-DQB1	known	2	25	25.0
HLA-DQB1	known	3-4	14	7.0
HLA-DQB1	known	5-8	16	4.0
HLA-DQB1	known	9-16	12	1.5
HLA-DQB1	known	17-32	13	0.8125
HLA-DQB1	known	33-64	10	0.3125
HLA-DQB1	known	65-128	6	0.09375
HLA-DQB1	known	129-256	7	0.0546875
HLA-DQB1	known	257-512	6	0.0234375
HLA-DQB1	known	513-1024	9	0.017578125
HLA-DQB1	known	>1024	6	0.005859375
HLA-DQB1	cds_changing	1	39	39.0
HLA-DQB1	cds_changing	2	1	1.0
