gene	resolution	ancestry_ref	ancestry_target	m_ref	cross_coverage	unseen_in_target	is_diagonal
HLA-DOA	protein	UNASSIGNED	AMR	579.0	0.9956549533388912	0.001989170001131857	False
HLA-DOA	protein	UNASSIGNED	EAS	579.0	0.9951699797991042	0.001648464727018517	False
HLA-DOA	protein	UNASSIGNED	EUR	579.0	0.9999131947199155	0.0	False
HLA-DOA	protein	UNASSIGNED	MID	579.0	0.9953197981506485	0.005169422300661197	False
HLA-DOA	protein	UNASSIGNED	SAS	579.0	0.98346763311322	0.002255503060885622	False
HLA-DOA	protein	UNASSIGNED	UNASSIGNED	579.0	0.9960203818323003	0.0012028511980758383	True
HLA-DOB	protein	AFR	AFR	588.0	0.997094776181586	0.0013430830994825005	True
HLA-DOB	protein	AFR	AMR	588.0	0.9950003241069113	0.00164235967156523	False
HLA-DOB	protein	AFR	EAS	588.0	0.996641509937088	0.0012162160828664836	False
HLA-DOB	protein	AFR	EUR	588.0	0.9917665519986454	0.003231996636058443	False
HLA-DOB	protein	AFR	MID	588.0	0.9962818211106378	0.0	False
HLA-DOB	protein	AFR	SAS	588.0	0.9900119975092836	0.0017893087003033603	False
HLA-DOB	protein	AFR	UNASSIGNED	588.0	0.9944902260036604	0.0010658850081911586	False
HLA-DOB	protein	AMR	AFR	588.0	0.9955048357775956	0.0013430830994825005	False
HLA-DOB	protein	AMR	AMR	588.0	0.996629155274215	0.00164235967156523	True
HLA-DOB	protein	AMR	EAS	588.0	0.9988626204982877	0.0012162160828664836	False
HLA-DOB	protein	AMR	EUR	588.0	0.9953852106158851	0.003231996636058443	False
HLA-DOB	protein	AMR	MID	588.0	0.9998943342074925	0.0	False
HLA-DOB	protein	AMR	SAS	588.0	0.9979773060288696	0.0017893087003033603	False
HLA-DOB	protein	AMR	UNASSIGNED	588.0	0.9970073108822934	0.0010658850081911586	False
HLA-DOB	protein	EAS	AFR	588.0	0.977988000982137	0.0013430830994825005	False
HLA-DOB	protein	EAS	AMR	588.0	0.9771260857020376	0.00164235967156523	False
HLA-DOB	protein	EAS	EAS	588.0	0.9985283315209207	0.0012162160828664836	True
HLA-DOB	protein	EAS	EUR	588.0	0.982618322849088	0.003231996636058443	False
HLA-DOB	protein	EAS	MID	588.0	0.9874245092079568	0.0	False
HLA-DOB	protein	EAS	SAS	588.0	0.9961048694807824	0.0017893087003033603	False
HLA-DOB	protein	EAS	UNASSIGNED	588.0	0.9805391668656382	0.0010658850081911586	False
HLA-DOB	protein	EUR	AFR	588.0	0.9933904525435432	0.0013430830994825005	False
HLA-DOB	protein	EUR	AMR	588.0	0.9948054792325672	0.00164235967156523	False
HLA-DOB	protein	EUR	EAS	588.0	0.9988797955198465	0.0012162160828664836	False
